,payment_type_id,internet_service_type_id,customer_id,contract_type_id,paperless_billing,gender,senior_citizen,partner,dependents,tenure,phone_service,multiple_lines,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract_type_id,paperless_billing,monthly_charges,total_charges,churn,internet_service_type,payment_type
0,2,1,0002-ORFBO,2,Yes,Female,0,Yes,Yes,9,Yes,No,No,Yes,No,Yes,Yes,No,2,Yes,65.6,593.3,No,DSL,Mailed check
1,2,1,0003-MKNFE,1,No,Male,0,No,No,9,Yes,Yes,No,No,No,No,No,Yes,1,No,59.9,542.4,No,DSL,Mailed check
2,1,2,0004-TLHLJ,1,Yes,Male,0,No,No,4,Yes,No,No,No,Yes,No,No,No,1,Yes,73.9,280.85,Yes,Fiber optic,Electronic check
3,1,2,0011-IGKFF,1,Yes,Male,1,Yes,No,13,Yes,No,No,Yes,Yes,No,Yes,Yes,1,Yes,98.0,1237.85,Yes,Fiber optic,Electronic check
4,2,2,0013-EXCHZ,1,Yes,Female,1,Yes,No,3,Yes,No,No,No,No,Yes,Yes,No,1,Yes,83.9,267.4,Yes,Fiber optic,Mailed check
5,4,1,0013-MHZWF,1,Yes,Female,0,No,Yes,9,Yes,No,No,No,No,Yes,Yes,Yes,1,Yes,69.4,571.45,No,DSL,Credit card (automatic)
6,3,2,0013-SMEOE,3,Yes,Female,1,Yes,No,71,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,3,Yes,109.7,7904.25,No,Fiber optic,Bank transfer (automatic)
7,4,2,0014-BMAQU,3,Yes,Male,0,Yes,No,63,Yes,Yes,Yes,No,No,Yes,No,No,3,Yes,84.65,5377.8,No,Fiber optic,Credit card (automatic)
8,1,1,0015-UOCOJ,1,Yes,Female,1,No,No,7,Yes,No,Yes,No,No,No,No,No,1,Yes,48.2,340.35,No,DSL,Electronic check
9,2,1,0016-QLJIS,3,Yes,Female,0,Yes,Yes,65,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,Yes,90.45,5957.9,No,DSL,Mailed check
10,4,1,0017-DINOC,3,No,Male,0,No,No,54,No,No phone service,Yes,No,No,Yes,Yes,No,3,No,45.2,2460.55,No,DSL,Credit card (automatic)
11,4,2,0017-IUDMW,3,Yes,Female,0,Yes,Yes,72,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,Yes,116.8,8456.75,No,Fiber optic,Credit card (automatic)
12,1,2,0018-NYROU,1,Yes,Female,0,Yes,No,5,Yes,No,No,No,No,No,No,No,1,Yes,68.95,351.5,No,Fiber optic,Electronic check
13,3,2,0019-EFAEP,3,Yes,Female,0,No,No,72,Yes,Yes,Yes,Yes,Yes,No,Yes,No,3,Yes,101.3,7261.25,No,Fiber optic,Bank transfer (automatic)
14,3,1,0019-GFNTW,3,No,Female,0,No,No,56,No,No phone service,Yes,Yes,Yes,Yes,No,No,3,No,45.05,2560.1,No,DSL,Bank transfer (automatic)
